"无一例外","没有一个在常例之外。指全部或全部如此。"
"无所不为","没有不做的事。指什么坏事都做得出。"
"潜精研思","专心致志，深入钻研。"
"熟视无睹","看惯了就象没看见一样。也指看到某种现象，但不关心，只当没有看见。"
"一针见血","扎一针就见到血。比喻说话、写文章直截了当，切中要害。"
"绵延不绝","连续不断，一直延续，形容相同的自然景观一个接一个不间断地出现。"
"刚愎自用","固执任性，自以为是，不听别人意见，由着自己的意志行事。"
"势单力薄","势力不强，力量单薄。"
"趋之若鹜","鹜：野鸭。像鸭子一样成群地跑过去。形容很多人追逐某种事物。多指追逐不正当的事物。"
"苦心孤诣","孤诣：达到别人达不到的程度。刻苦钻研，到达了他人所不能及的地步。也指煞费苦心寻求解决问题的办法。"
"三言两语","指简短的几句话。"
"寡不敌众","寡：少。敌：抵挡。人少的一方抵挡不住人多的一方。"
"画地为牢","相传上古时，于地上画圈，令犯罪者立圈中，以示惩罚，如后代的牢狱。"
"栉风沐雨","以风梳发，以雨洗头。形容在外奔波，不避风雨，历尽艰辛。"
"衣钵相传","1.中国佛教禅宗初祖至五祖师徒间传授佛法举行的一种仪式，师父向徒弟授予衣钵为信物，表示佛法递相传承。 2.泛指师徒间学问、技艺等递相传承。"
"迎难而上","迎：面对；难：困难；而：就，所以；上：克服。就算遇到困难也不退缩，迎着困难去克服它。"
"首当其冲","当：承受。冲：要冲，交通要道。指首先受到攻击或遭受灾祸。"
"客似云来","比喻客人像云一样来得络绎不绝，生意非常兴旺。"
"照猫画虎","按照猫的样子来画老虎。比喻照样子模仿。"
"别具匠心","具：有。匠心：精巧的心思。另有与众不同的巧妙构思。"
"不绝如缕","像细线一样连着，差点儿就要断了，多形容局势危急或声音细微悠长。"
"专心致志","专心：用心专一。致：集中。志：志趣。用心专注，精力集中。形容做事一心一意，非常认真。"
"屈指可数","扳着手指即可数清。形容数量少。"
"蒸蒸日上","蒸蒸：热气上升的样子。日：一天天。一天天地向上发展。形容事业兴旺发达。"
"取长补短","长：长处，优点。短：短处，不足。吸取他人的优点来弥补自己的不足。"
"难以为继","很难继续下去。"
"自言自语","自己与自己说话。"
"不拘一格","不拘泥于一种格式。指不受某种模式的限制。"
"随心所欲","随：依从。欲：想要，希望。随着自己的心意，想要怎样就怎样。"
"扬汤止沸","不停地把锅里开着的水舀起来再倒回去，想以此种方法阻止水的沸腾。比喻解决问题不从根本入手，方法错误，毫无效果。"
"沧海桑田","沧海：大海。桑田：种植桑树的农田。大海变成农田，农田变成大海。比喻世事变迁巨大。"
"神秘莫测","非常神秘,难以推测。常用来形容一些不可理解的事物或现象；或使人摸不透高深得无法揣测的。"
"东山再起","东晋谢安退职后在东山做隐士，后来又出任要职。"
"抱残守缺","守着陈旧、残破的东西不放。指思想保守，不肯接受新事物。"
"水乳交融","水和奶汁融合在一起。比喻彼此感情十分融洽。"
"你追我赶","互相追赶。形容竞争激烈，相互不甘落后。"
"贻笑大方","贻笑：留下笑柄。大方：即大方之家，原指懂得大道理的人，后泛指见多识广或有专长的行家。落下笑柄，让内行人笑话。"
"妇孺皆知","孺：小孩子。妇女和小孩子都知道。表示众所周知。"
"大声疾呼","疾：又急又猛。提高声音急促地呼喊。指呼吁别人帮助或唤起人们注意、警觉。"
"以邻为壑","拿邻国当作排泄洪水的沟谷。比喻只顾自己的利益，把困难或祸害转嫁给别人。"
"众口一词","众多的人说同样的话。指大家的说法相同，意见一致。"
"唯我独尊","只有自己最崇高。形容极端狂妄自大，认为只有自己最了不起。"
"纤尘不染","谓一点尘灰也不染上。"
"青出于蓝","青：靛（diàn）青色的染料。青这种染料是从蓼（liǎo）蓝（一种可以从叶子中提取靛青染料的草本植物）中提取出来的，但它的颜色却比蓼蓝更蓝。比喻学生胜过老师，或后人超过前人。"
"去粗取精","去掉粗劣的东西，留取精华部分。常后接“去伪存真”，连用。"
"事与愿违","事情的发生、发展跟主观愿望相违背。指事情的结果不能称心如意。"
"优胜劣汰","汰：淘汰。优秀的就能获胜，或生存下来；低劣的就会在竞争中失败，或遭到淘汰。"
"静若处子","安静的时候像姑娘那样文雅持重。形容十分安静或平静。常后接“动若脱兔”或“动如脱兔”，连用。"
"垂头丧气","形容情绪低落，精神沮丧。"
"同舟共济","舟：船。济：渡，过河。比喻团结互助，共同渡过难关。"
"守株待兔"," 后比喻企图不经过主观努力而侥幸得到意外的收获。"
"拨乱反正","消除混乱局面，恢复正常秩序。"
"分崩离析","分裂崩溃，离散解体。形容国家或集团等分裂瓦解。"
"与众不同","跟一般的不一样。指人的性格行为等不同寻常或事物独具特色。"
"百科全书","系统概述人类所有知识或某一门类知识的大型工具书。采用条目的形式，在相应的范围内对基本概念、术语、人名……"
"一语双关","一句话包含两个意思。"
"滥竽充数","不会吹竽的人混在吹竽的队伍里充数。"
"千姿百态","形容姿态各异，丰富多彩。"
"耳目一新","听到的和看到的都很新鲜。形容变化大，与以往大不相同。"
"同气连枝"," "
"弹冠相庆","指同伴即将做官，自己也将得到引荐而互相庆贺。多用于贬义。"
"大有可为","很值得去做。形容事物很有发展前景。"
"好大喜功","指不顾条件是否许可，一心想干大事，立大功。"
"曲径通幽","弯弯曲曲的小路通向幽深僻静的地方。多形容风景胜地的幽雅。"
"可圈可点","（文章精彩或重要）值得加圈加点。指值得称道。"
"稳操胜券","稳操：稳稳地把握住。胜券：胜利的凭证。比喻有充分的取胜把握。"
"因噎废食","噎：食物哽于咽喉。因为怕哽住了就不再吃饭。比喻因受了一点挫折就完全放弃应做的事。"
"表里相依","外部表象和内在实质互相依存。"
"成语","释义"
"好大喜功","指不顾条件是否许可，一心想干大事，立大功。"
"千难万险","指各种各样的困难和危险。"
"津津乐道","很有兴趣地说个不停。"
"扑朔迷离","扑朔：雄兔双脚乱动的样子。迷离：雌兔双眼眯着的样子。雄兔雌兔难以辨别。比喻事情错综复杂，令人迷惑。"
"不可思议","原有神秘奥妙的意思。 现多指无法想象，难以理解。"
"蓬荜生辉","简陋的房屋也生出了光辉。一种谦虚的说法，表示由于客人来访或张挂某人题赠的字画等而使家里增添光彩。"
"雅俗共赏","雅：文雅，指文化水平较高者。俗：粗俗，指文化水平较低者。赏：欣赏，鉴赏。文化水平高的人和低的人都能欣赏。"
"稳操胜券","稳操：稳稳地把握住。胜券：胜利的凭证。比喻有充分的取胜把握。"
"弹冠相庆","指同伴即将做官，自己也将得到引荐而互相庆贺。多用于贬义。"
"光怪陆离","光怪：光彩奇异反常。陆离：色彩繁杂。形容色彩纷繁，形态奇特。也形容事物离奇多变。"
"曲径通幽","弯弯曲曲的小路通向幽深僻静的地方。多形容风景胜地的幽雅。"
"因噎废食","噎：食物哽于咽喉。因为怕哽住了就不再吃饭。比喻因受了一点挫折就完全放弃应做的事。"
"百折不挠","折：挫折。挠：弯曲。受到无数次的挫折都不屈服。形容意志坚强。"
"无计可施","没有计谋可以施展，指想不出对策，没有任何办法。"
"出谋划策","制订计划策略。多指替人出主意，想办法。"
"当务之急","当：当下。务：专力从事，致力。指当前任务中最急需办理的事。"
"街谈巷议","指在街头苍尾用谈议论;也指街头巷尾人们的谈论。也指非官方消息，没有根据的议论。"
"天造地设","1.像天地造就和安排的一样。形容自然形成而极合理想。 2.形容事物配置或配合得极为自然而得体。"
"事必躬亲","样样事情一定要亲自去做。形容办事认真。"
"各自为政","为政：处理政事，泛指办事。各按自己的主张去办事。指行动上各搞一套，不与人配合，不照顾全局。"
"众说纷纭","纷纭：繁杂。形容人多嘴杂，各种各样的言论很不一致。"
"不容小觑","不能小看；不能轻视。"
"萎靡不振","萎靡：颓丧。形容意志消沉，精神不振作。"
"各执一端","指各自坚持各自的观点或道理。"
"闻过则喜","听到别人指出自己的缺点、错误就感到高兴。指虚心接受意见。"
"迟疑不决","反复思考，拿不定主意，不能作出决定。"
"游刃有余","在细小的骨缝中灵活地运转刀，没有一点阻碍。比喻做事技术娴熟，毫不费力。"
"不求甚解","意思是只求领会要旨，不在字句上刻意下功夫。"
"见贤思齐","看到品德高尚、有才学的人，就想向他看齐，向他学习。"
"若隐若现","好像隐蔽着，又好像显现出来。形容事物不清晰或事态发展不明朗。"
"枝繁叶茂","树枝繁密，树叶茂盛。比喻儿孙满堂。"
"生机盎然","很富有朝气和生命力的样子。"
"绵绵不绝","形容多，连续不断。"
"独当一面","当：掌管，主持。单独承担或负责一个方面的任务。"
"事倍功半","所做的工作比别人加倍而成效只是别人的一半。形容费力大而收效小。"
"不负众望","负：辜负。没有辜负大家的期望。"
"后继无人","前人的事业没有后人继承。"
"一举两得","指做一件事情同时得到两方面的好处。"
"忧心忡忡","形容心事重重，非常忧愁。"
"活灵活现","形容说话作文等描绘得生动、逼真，使人感到像真的一样。"
"投机取巧","投机：乘时机，钻空子。取巧：耍狡猾的手段占便宜。指用不正当的手段谋取私利。也指不愿付出劳动，凭借骗术或耍小聪明的手法来取得成功。"
"浩浩荡荡","水势壮阔的样子。①形容气势雄壮，规模巨大。②空旷寥廓的样子。"
"不忘初心","一个人做事情，能够始终如一地保持当初的信念，不随时间改变。"
"哗众取宠","哗众：使群众兴奋激动。宠：宠爱。故意用漂亮的言辞或做作的行为迎合人们的心理，以博取他们的夸奖和赏识。"
"额手称庆","把手举到额头上说庆幸的话。指由衷地表示庆幸、庆贺、高兴等。"
"保驾护航","旧指保卫皇帝，现在泛指保护某人；护航：护送飞机或船只航行。指为某项工作的顺利开展提供保护。"
"实至名归","实：实际的成就。至：达到。名：名誉。归：到来。有了实际的成就，相应的名声就会随之而来。"
"一丝不苟","苟：苟且，马虎。指做事认真细致，一点儿不马虎。"
"横空出世","形容山岭等高大雄伟。也形容超群出众。"
"一席之地","一张席子的地方。比喻很小的地方。也指一个位置。"
"错综复杂","交错综合，重复杂乱。形容事情头绪繁多，交错纠结，情况极其复杂。"
"无所适从","适：往，到。从：随从，顺从。不知依从谁好。形容做事失去了方向，不知道怎么办好。"
"不言自明","不用说话就能明白。"
"烟消云散","烟消失了，云也散尽。"
"无话可说","1.说不出话来，哑口无言。 2.没有话要说。指不开口说话，不发表意见。"
"皓首穷经","直到年老白头还在钻研经籍。形容勤勉好学，至老不倦。也称白首穷经。"
"求同存异","求：寻求。存：保留。异：不同。寻求共同之处，保留不同意见。"
"繁花似锦","许多色彩纷繁的鲜花，好像富丽多彩的锦缎。形容美好的景色和美好的事物。"
"严阵以待","严阵：严正整齐的阵势。摆好严正整齐的队阵，等待来犯的敌人。"
"心领神会","领：领会。会：会意。内心早已深刻地领会。"
"运筹帷幄","运筹：制定策略，筹划。帷幄：古代军中的帐幕。在帐幕中谋划计策。泛指在后方部署、筹划、指挥。"
"情有可原","情：情理。原：原谅。按照情理，有可以原谅的地方。"
"不分轩轾","比喻不分高低优劣。"
"不声不响","指不说话；不出声。"
"不可名状","不能够用语言描绘出来。"
"沁人心脾","沁：渗入。心脾：内脏。渗透到人的内脏。1. 形容空气清新，使人感到十分舒畅。 2. 用来形容美好的诗文、乐曲等给人以清新、爽朗的感觉。"
"各执一词","执：坚持。词：言词，指说法。各人坚持一种说法。形容各方的意见不一致，看法不统一。"
"洗心革面","清除旧思想，改变旧面貌。比喻彻底悔改。"
"泥古不化","拘泥于古代成规，不知变通。"
"一丝一缕","形容事物很细致，很有条理性，而且多而不乱。"
"习以为常","习：习惯。常：平常。习惯了就觉得很平常。"
"支离破碎","支离：分散，残缺。形容零散残缺，不成整体。"
"斗转星移","北斗转向，星座移位。谓晚上时间推移。指夜深，亦指时光流逝或岁月变迁。谓使北斗转向，星座移位。形容声势极大。"
"改头换面","指改变面目。"
"循循善诱","循循：有次序的样子。善：善于。诱：诱导。指有计划地引导、教育。形容教育有方。"
"弃旧图新","1.抛弃旧的，谋求新的。指不用旧东西，改用新东西。 2.指放弃旧做法想法，采用新做法想法。 3.指改正以前的错误，走上新的正确道路。"
"事半功倍","事：从事，做的工作。功：功效，收效。形容花小力气，收到大成果。"
"郁郁葱葱","①气旺盛的样子。②草木苍翠茂盛的样子。"
"不屑一顾","不屑：不值得。顾：看。不值得一看。指非常轻视，看不起。"
"明察秋毫","明：明晰，敏锐。察：观察，看。秋毫：秋天鸟兽身上的细毛，比喻极细微的事物或现象。目光锐利，对细小的事情也能看得清楚明白。形容洞察一切。"
"情有独钟","钟：感情集中、专注。对人或事物有特别专一的感情。"
"如鱼得水","好像鱼儿得到了水。"
"过犹不及","过：过分；犹：像；不及：达不到。事情做得过头，就跟做得不够一样，都是不合适的。"
"微不足道","微：细小、轻微。小到不值得一提。形容非常微小。"
"堂而皇之","之：表示语气。1. 形容公开，不加掩饰。 2. 形容很气派，很体面。"
"钟鸣鼎食","1.敲钟奏乐、排列鼎器就餐。形容高官贵族、富贵人家生活讲究排场，奢侈豪华。 2.泛指生活奢侈豪华。"
"一望无际","一眼看不到边际。形容十分辽阔。"
"脱胎换骨","道教谓修炼得道，脱去凡胎而成圣胎，换易凡骨而为仙骨。也指诗文取法前人而化为己出。也形容思想上发生根本性的变化。"
"烂熟于心","指记得滚瓜烂熟。"
"化险为夷","险：险阻，危险。夷：平坦，平安。化险阻为平坦，化危险为平安。多指使危险的处境或情况转为平安。"
"熙熙攘攘","熙熙：和乐的样子。攘攘：纷乱的样子。形容人来人往，十分热闹拥挤。"
"拍案叫绝","案：桌子。绝：罕见，极好。拍着桌子叫好。形容极其赞赏。"
"妙趣横生","趣：情趣，趣味。横生：层出不穷。美妙动人的情趣层见迭出。形容语言、文章等充满美妙的情趣。"
"于事无补","对所要解决的问题没有帮助。"
"抽丝剥茧","剥开蚕茧抽出蚕丝。比喻研究事物发生发展过程，从中理出头绪。"
"恒河沙数","像恒河里的沙子那样多。形容数量多得无法计算。"
"入木三分","原形容书法笔力遒劲。后多用来比喻议论、见解或描写非常深刻。"
"乏善可陈","没什么好值得称道的。指情况一般，不值提谈。"
"体无完肤","完：完好。肤：皮肤。1. 形容遍体全是伤痕，没有一块皮肤是完好的。 2. 比喻观点被驳得一无是处或文章被删改得非常厉害。"
"粉墙黛瓦","出自《长恨歌》。指雪白的墙壁，青黑的瓦，用来描写房屋。"
"心中有数","对情况和问题有基本的了解，处理事情有一定把握。"
"去芜存菁","除去糟粕，保留精华。"
"挥洒自如","挥：挥笔。洒：洒墨。形容写字、作画时运用笔墨自然流畅，不受拘束。也形容言谈举止从容不迫或处理事情干练。"
"难以名状","很难用语言来形容。"
"异彩纷呈","异彩：新奇的，特别的；纷呈：繁多，杂乱，表示色彩艳丽。比喻突出的成就或表现。"
"大起大落","大幅度起落。形容变化幅度很大。"
"照本宣科","科：条文。照着条文宣读。比喻死板僵化，不能灵活运用。"
"万马奔腾","形容声势浩大或场面壮观。"
"气壮山河","气：气概，气势。壮：使……壮丽。气概使山河壮丽生色。形容气概豪迈，气势雄伟。"
"纵横交错","纵：南北方向。横：东西方向。竖的和横的互相交叉。形容错综复杂。"
"古为今用","把古代的东西为今天服务。指批判地继承古代文化遗产，使之为今天的事业服务。"
"代代相传","一代一代地流传。"
"病入膏肓","膏肓：古人称心尖脂肪为膏，心脏与膈膜之间为肓，是药力达不到的地方。1. 指疾病重到无法医治的地步。 2. 比喻事态严重到无可挽救的程度。"
"稍纵即逝","稍微一放松就消失了。形容时间或机会等很容易过去。"
"物竞天择","指自然界的生物通过自然选择，优胜劣汰，在竞争中求生存。是英国生物学家达尔文进化论的观点。后引申指人类社会的优胜劣汰之事。常后接“适者生存”，连用。"
"微言大义","微言：精当而含义深远的话；大义：本指经书的要义，后指大道理。包含在精微语言里的深刻的道理。"
"全神贯注","神：精神。贯注：集中。形容全部精神、注意力高度集中。"
"海纳百川","大海容纳千百条江河的水。形容很具有包容性。"
"桑枢瓮牖","1.用桑木做门轴和破瓦罐做窗子的房屋。泛指简陋破败的房屋。 2.用桑木做门轴和破瓦罐做窗子的人家。指贫穷人家。"
"民不聊生","指老百姓无以为生，活不下去。"
"一筹莫展","筹：竹筹，古代用来计数和计算的算筹，引申为谋划、计划。一点计策也施展不出。"
"别有用心","用心：居心，企图。指言论、行动另有企图。"
"自惭形秽","为自己的模样丑陋而感到惭愧。泛指自己的知识能力等不如别人而感到惭愧。"
"推波助澜","推：推动。波、澜：波浪。比喻从旁鼓动，促使事物发展或助长声势，扩大影响。"
"高枕无忧","垫高了枕头睡觉，无所忧虑，指平安无事，不用担忧。"
"勤学苦练","勤奋地学习，刻苦地训练。"
"没精打采","形容没有精神、萎靡不振的样子。"
"水涨船高","涨：水位升高。水位增高，船身也跟着升高。比喻基础提高了，赖以生存的事物也随之相应提高。"
"兰艾同焚","兰草跟艾草一起烧掉。比喻不分好坏，一同毁掉。"
"欣欣向荣","形容草木健康生长的样子。多比喻事业兴旺发达。"
"有恃无恐","恃：依靠。恐：恐惧，顾忌。有了依靠，便无所顾忌。"
"龙争虎斗","像巨龙和猛虎相斗一样。形容争斗十分激烈。"
"直言不讳","直截了当地说出内心的话，丝毫不加掩饰。"
"弥足珍贵","形容十分珍贵、非常珍贵。含褒义。"
"呼之欲出","叫一声就像会出来似的。形容所描绘的人物形象生动逼真。也谓人选已酝酿成熟，即将就任。"
"囫囵吞枣","囫囵：整个的。把整只枣子不加咀嚼地一口吞下去。比喻学习时不加分析辨别，含混笼统地接受，根本没有理解和消化。"
"独木难支","一根木头难以支撑将要倒塌的大厦。指力量单薄，难以支撑或维持某种局面。"
"勇往直前","勇敢地一直向前进。"
"史无前例","前例：先例，以往的事例。历史上从未有过的事情。"
"名列前茅","名：名次。前茅：古代行军时，前面的部队拿着茅草当旗子，遇到敌情就举起茅草作为信号告诉后面的队伍。后指名次排在前面。今多指考试或竞赛取得优异成绩。"
"鸠占鹊巢","斑鸠抢占了喜鹊的窝。比喻侵占别人的利益或位置。"
"一隅之地","一个角落的地方。指偏于一方的狭小地区。"
"束之高阁","把东西捆起来放在高高的阁楼上。比喻弃置不用。"
"砥砺前行","砥砺前行：经历磨炼，克服困难，往前进步的意思。也作“砥砺奋进”。"
"众口难调","原意是各人的口味不同，很难做出一种饭菜使所有的人都感到好吃。"
"千里之行","指的是走很长的路。"
"汹涌澎湃","水势猛烈地向上涌，波浪互相冲撞。形容水势浩大而凶猛。"
"筚门圭窦","1.指穷人住的简陋房屋。 2.代指穷苦人家。"
"百家争鸣","百家：指学术上的各种流派。比喻各种文化、学术流派之间自由争论。"
"风靡全球","形容事物在全世界范围内非常流行。"
"弹丸之地","弹丸：弹弓射击用的弹子。像弹子那么小的地方。比喻地方极其狭小。"
"捷足先登","捷：快，敏捷。足：脚步。先登：首先登上，先行到达。快步走的先行登上。形容行动迅速的先达到目的。"
"始于足下","走一千里路，是从迈第一步开始的。比喻事情是从头做起，逐步进行的。再艰难的事情，只要持续不懈的行动必有所成。"
"不值一提","不值得一说。连提谈一下的价值都没有，表示轻蔑。"
"寡廉鲜耻","寡、鲜：少。廉：廉洁。耻：羞耻。不廉洁，不知耻。形容人没有道德，不知羞耻。"
"争先恐后","恐：害怕。争着向前，唯恐落后。多指积极进取的精神。"
"触类旁通","旁：其他。通：通晓。接触并掌握了某一事物的规律，就能推知同类的其他事物。"
"目瞪口呆","睁大眼睛，张大嘴巴，说不出话来。形容因吃惊或恐惧而发愣的样子。"
"有条不紊","条：条理。紊：乱。形容有条有理，一点儿不混乱。"
"孜孜矻矻","勤勉不懈的样子。"
"夹枪带棒","指言语中暗藏讽刺。"
"渐行渐远","主要是由于人的性格、观念、背景、立场等的不同，以至于本来很要好的两个人，形同陌路。"
"风雨同舟","在狂风暴雨中同乘一条小船。比喻共同经历患难，共同克服困难和艰险。"
"春色满园","同“满园春色”。"
"兼听则明","广泛听取意见就能明辨是非。常后接“偏信则暗”，连用。"
"言外之意","言语之外所含的意思。指没有明说的，但却让人能体会出来的意思。"
"一概而论","用同一标准来对待或处理。多用于否定句。"
"千奇百怪","1.指各种各样、稀奇古怪的事物和现象。 2.形容多种多样，稀奇古怪。"
"名副其实","名：名称，名声。副：相符，相一致。名称、名声与实际相符。"
"目无全牛","1.眼里看到的不是整头牛。形容对事物十分熟悉，了如指掌。 2.形容技艺极其精湛娴熟。"
"弦外之音","原指音乐的余音。比喻言外之意，即在话里间接透露，而不是明说出来的意思。"
"拔苗助长","通过拔起秧苗的办法让禾苗长得快些。比喻违反事物发展的客观规律，急于求成却遭到失败。"
"名正言顺","名：名分，名义。正：正当。言：说明。顺：合理合情。说话和做事有正当的名分和理由。"
"快马加鞭","对跑得很快的马再加上几鞭。比喻快上加快。"
"浑然天成","形容诗文结构严密自然，用词运典毫无斧凿痕迹。亦形容人的才德完美自然。"
"严防死守","严密防护，坚决死守，表示非常坚定守住的意思。"
"一厢情愿","一厢：一边，引申为单方面。指单方面的愿望或不考虑客观实际情况的主观意愿。"
"夸夸其谈","形容说话或写文章浮夸、不切实际。"
"坚持不懈","懈：松懈。坚持下去，决不放松。"
"口耳相传","口说耳听，转相传授。"
"孤立无援","单独支撑局面，得不到外力援助。"
"柳暗花明","垂柳浓密，鲜花夺目。形容柳树成荫，繁花似锦的春天景象。"
"背井离乡","离开家乡到外地。"
"老气横秋","形容老练而自负的神态。"
"光明正大","正大：正当，正派。形容心地光明公正，言行正派无私。"
"惊天动地","形容发生的事情极不寻常，令人震惊。也形容音响洪亮。也犹言大惊小怪。"
"卷土重来","卷土：人马奔跑时扬起尘土。重：又。比喻失败后重新集结力量进行反扑或消失了的人、事物重新出现。"
"餐风宿露","在风中吃饭，在露天睡觉。形容旅途或野外生活艰辛。"
"绝处逢生","绝处：绝境，死路。在绝境中又遇到了生路。"
"避重就轻","1. 避开重要的责任，承担次要的责任。 2. 回避要害问题，只谈无关紧要的事。"
"销声匿迹","销：消失。匿：隐藏。迹：行踪，行迹。没有声响，不露痕迹。形容隐藏得无踪无迹或完全消失，不再出现。"
"无所不在","到处都存在，到处都有。"
"闻名遐迩","远近都听到其名声。形容很著名。"
"坚定不移","形容立场、意志、主张等专一固定,毫不动摇。也是不放弃，不改变自己的想法。"
"山穷水尽","穷：尽。山和水都到了尽头。比喻走投无路，陷入绝境。"
"瑕瑜互见","玉上既有斑点，也有光彩。比喻优点、缺点都有。"
"呕心沥血","吐出心，滴着血。比喻为做某项工作费尽心思，用尽全力。"
"左右逢源","各方面都遇到水源。指做学问如果积累丰富或学识广、造诣深，就能在需要的时候取之不尽，用之不竭。"
"无懈可击","懈：松懈，引申为毛病、漏洞。没有什么漏洞、毛病可让人攻击的。形容十分完美、严密。"
"滔滔不竭","像水流一样连续不断，没完没了。多形容话多，说起来没完没了。"
"与日俱进","1.随时间的推移而不断向前或进步。 2.同“与日俱增”。"
"越俎代庖","1.原指主持祭礼的人跨过礼器（指不尽自己的职责）去代替厨师下厨房做饭。后比喻超越自己的职责范围行事。 2.比喻包办代替。"
"防患未然","防：防止。患：灾祸。未然：未成为事实。在祸患、事故没有发生之前就预先采取防备措施。"
"尽善尽美","尽：极。极其完善，极其美好。形容事物完无缺。"
"龙飞凤舞","好像龙在飞腾，好像凤在起舞。1. 形容山势蜿蜒起伏。 2. 形容书法笔势灵活舒展。有时也形容字迹潦草。"
"蓬勃发展","发展的势态很迅速，很积极，很向上。"
"恃才放旷","仗着自己有才能，言行放荡不羁。"
"陈词滥调","滥：空泛，失真。陈旧、空泛、不切实际的论调。"
"尔虞我诈","你欺骗我，我欺骗你。指相互欺骗。"
"格格不入","格格：抵触，阻碍。互相抵触，彼此不协调，不相容，不能结合在一起。多指人的性格、看法等不相投合或不同性质的事物无法融合在一起。"
"金戈铁马","金属制的戈，披铁甲的战马，借指威武雄壮的军队，也指战争或军旅生涯。"
"环环相扣","一环紧扣一环。形容连接得自然而紧密。"
"入不敷出","敷：足够。收入不够支出。形容经济困难。"
"坚忍不拔","形容意志坚强，在艰难困苦的条件下坚持而不动摇。"
"简而言之","简单地说。"
"正本清源","从根本上整顿，从源头上清理。比喻从根本上采取措施加以解决。"
"心心相印","彼此的心意不用说出，就可以互相了解。形容彼此思想感情完全一致。"
"怅然若失","心里不痛快，好像丢了什么东西似的。"
"艰苦卓绝","卓绝：极不平凡。坚忍刻苦的精神超过寻常。"
"口若悬河","悬河：瀑布。嘴里的话像瀑布一样不停地奔流倾泻。形容口才好，说话滔滔不绝。"
"不以为然","不认为是这样的，不认为是这么回事。不认为是对的，表示不同意（多含轻视意）。"
"无以复加","不能再增加。形容程度上已达到了极限。"
"饥寒交迫","交迫：一齐逼来。饥饿和寒冷同时袭来。形容极其贫困。"
"莫名其妙","莫：不，不能。名：说出。妙：奥妙。没有人能说出其中的奥妙。形容事情奇怪或不合常理，使人弄不清楚是怎么一回事。"
"点石成金","原指传说中的仙人有把石头点化成黄金的法术。 现比喻空手能生钱财。也比喻能把不好的诗文修改好或使不完善的东西完善。"
"言之有理","说的话有道理。"
"失之交臂","交臂：胳膊碰胳膊。指擦肩而过。指当面错过机会。"
"风光无限","辽阔没有边际的风土景物。"
"插翅难逃","插上翅膀也难飞出去。指很难逃脱。"
"羞愧难当","羞愧得难以承受。形容十分羞愧。"
"饮鸩止渴","喝毒酒解渴。比喻采用有害的方式解决眼前困难而不顾严重后果。"
"繁荣昌盛","形容兴旺发达，蓬勃发展。"
"名不虚传","传出的名声不是虚假的。指实在很好，不是空有虚名。"
"和而不唱","指赞同别人的主张，自己不创新立异。"
"夜以继日","继：继续。白天干完后，夜晚又接着干。形容日夜不停地连续做。"
"目不暇接","目：眼睛。暇：空闲。接：接收，这里指眼睛看。眼睛来不及看。形容美好的事物很多或变化很大，一下子来不及看。"
"杞人忧天","一个杞国人老是怕天掉下来。"
"流离失所","流离：离开家乡，流落他乡，亲人离散。失所：失去安身的地方。到处流浪，无处安身。"
"身先士卒","指打仗时将帅亲自冲在前面杀敌。也比喻领导带头走在群众的前面。"
"呆若木鸡","发愣发呆，像只木头鸡。形容人痴呆或因恐惧、惊讶而发愣的样子。"
"精雕细刻","精心细致地雕刻。形容艺术创作十分细致或做事非常仔细认真。"
"当仁不让","意思是面临仁义,就是老师也不用和他谦让。"
"润物无声","指有大胸怀者，做了贡献而不张扬，默默奉献。出自杜甫的《春夜喜雨》：好雨知时节，当春乃发生。随风潜入夜，润物细无声。"
"竿头日上","竿头：竹竿尖头；上：上升。比喻学业进步很快。"
"身临其境","临：到。亲身到了那个境地。"
"努力拼搏","上进，为了目标理想，不要命了的去实现。"
"一脉相连","暂未释义"
"望而却步","却步：不敢前进，向后退。形容事物可怕或讨厌，使人一看就往后退缩。"
"一鼓作气","第一次击鼓时士气振奋。"
"洞若观火","洞：透彻。观察事物清楚明白，就像看火一样。"
"全民皆兵","全体民众都是士兵。指全体人民都被武装起来准备投入战斗。"
"明目张胆","明目：睁大眼睛。张胆：放开胆量。原形容有胆识，敢作敢为。现形容毫无顾忌地做坏事。"
"只争朝夕","很短的时间都要争取。形容充分争取时间。"
"胸有成竹","成竹：现成的、完整的竹子。原指在画竹子前，心里早已有了竹子的完整形象。比喻做事前早有准备，可从容应付。"
"吐故纳新","1.（呼吸时）吐出浊气，吸进新鲜空气。 2.比喻扬弃旧的，吸收新的。"
"心旌摇荡","拿不定主意，犹豫不决。面对自己想要或想得到的东西，心驰神往，不能自制."
"始终如一","从开头到结尾都一样。多指优良的品德、行为能坚持到底。"
"戎马倥偬","形容军务繁忙。"
"铺天盖地","铺满了天空，盖满了大地。形容到处都是，来势很猛。"
"纵横捭阖","1.指在政治和外交上运用各种手段进行拉拢联合或分化瓦解。 2.形容言辞豪放，不受拘束。"
"萍水相逢","浮萍随水飘动，偶然聚集在一起。"
"风雨兼程","形容在风雨中仍然不停的赶路，有一种不避困难勇往直前的精神。"
"一知半解","知：知道。解：了解。形容知道得不全面，理解得不深刻。"
"克勤克俭","既能勤劳，又能节俭。"
"神来之笔","指文艺创作中受灵感启示有如神灵相助一般创作出来的绝妙佳作。"
"似是而非","好像是对的，实际上不对。"
